,amrex-version,libfabric-version,cmake-version,mpich-version
22h5qp4h322i6qmnbc4g534hkqjalvpq,0.0,0.0,7.0,7.0
23nvg2iett72mjpnvcavro54e4dubg7a,14.0,2.0,57.0,13.0
23xgcrbscqpuh3q2xvfjet2dq3lilzvu,15.0,0.0,39.0,8.0
24slwyoaip6d4eb2mgx5zhinxvzoj65v,2.0,0.0,78.0,9.0
252btvxxckod56es7jzsl3s3v66glfg7,21.0,0.0,43.0,8.0
25lpw3hbqwi3gyu3nagdlmzyyodv7mzl,28.0,2.0,54.0,1.0
27wnpscrrw3jwonkasmxfz5smed4sydg,24.0,0.0,18.0,10.0
2d2wd7xz4xpiwhvn3m7c24hg6pms7p5w,4.0,0.0,41.0,11.0
2fsvmmkfxifptnn6lroqa25i4eodqjo4,18.0,0.0,61.0,7.0
2jdjvi3wshv437dng6nwamivomjb5wqa,2.0,2.0,12.0,3.0
2jvdph52w2b4wzs5vtnocm244xjpytpn,14.0,0.0,20.0,14.0
2kiuohzhgkfh3myula7wirwnsr334myo,13.0,0.0,23.0,7.0
2mbepttjzeqcw45btui5ur3uwx53ymvt,5.0,0.0,69.0,14.0
2my35uuv7slppriktkjnqischflm4xj7,24.0,2.0,30.0,2.0
2n4fli6and4wuzgn6efxsuikhmbq5cgc,2.0,0.0,32.0,11.0
2otxqnsbb2olmnerzkk7d5i4c26cz4n2,25.0,2.0,15.0,0.0
2p7hdyqpiliie5qybnktc5z6sfysgz5h,11.0,2.0,15.0,2.0
2su4uwiawiltigwkc4hemc2px3vbzfz4,2.0,2.0,58.0,0.0
2sxgo3qrc6cxiwulcuwxizok7durgtju,2.0,2.0,46.0,13.0
2ukqohyxsquphekuteseupwj5yyhvxmo,11.0,1.0,13.0,6.0
2vv77dspfxaeu7pjaansqpdz3e3ifnnx,5.0,2.0,30.0,4.0
2wba4cwvqtwe36avgctxm5ianq74adcb,26.0,0.0,62.0,7.0
2wy2lku3ha2e62j4jyhexh3jecrwfkib,15.0,1.0,64.0,5.0
2zkrq23vggxd3mnjigbxwjx5lxxoo5na,3.0,0.0,61.0,12.0
32ofzg64gcd32fzuurtmhml336trgbvx,0.0,2.0,4.0,1.0
347bjt7kpijydlycmq3mu2ygu4pphyj5,0.0,0.0,55.0,7.0
374kyab2lcl6kzszzkrjxa4ms73ckfvg,26.0,1.0,33.0,6.0
37izaxl6mdxa4oel6mnss3zc7swpout3,12.0,0.0,67.0,10.0
3ap3nutsgechxm2fidmbskbkhauutgic,22.0,2.0,51.0,4.0
3asyeblskdaekzqg4syfs6wiqtm552js,5.0,2.0,64.0,0.0
3dy23nrboalzvfz4bygtfoebwbps36s6,0.0,0.0,79.0,7.0
3edzwicqoyvp4yfctur43tmk7vxbpgjr,12.0,2.0,35.0,4.0
3fhpaxcexpkt6cj3mmmk7efhgh4v4nwb,17.0,1.0,36.0,5.0
3hh4fh7br32g47mzw5nfur4qnqb35c5e,25.0,2.0,35.0,1.0
3pgugvbnmp5iic65spsaanm7pffrvy75,25.0,2.0,68.0,13.0
3pq2ashqpwcs24tjlrjqizius5sz7mz3,24.0,2.0,61.0,2.0
3rokoepfzw5c3vnhtdvm2wzm3iojhl3t,17.0,1.0,53.0,6.0
3ujdgurhrb2lovposduzozmct2eww6xv,26.0,2.0,35.0,13.0
3v323mu2a3p6dezw5klqfot5i3lg67tn,2.0,0.0,6.0,14.0
3w454zizui6oiijzdvrtdauup324hot3,25.0,0.0,43.0,11.0
3wrwlk24o4ou6ozx5mtqoom3nxihfx6t,26.0,2.0,63.0,1.0
3xhsigsa2zr2m4w6xly6g4lg5zm7jta5,19.0,1.0,40.0,6.0
3yni4pcy27rmffgnx2lks4cwh6fr5hkp,21.0,1.0,21.0,6.0
42bi5zj7wpbem224sors2o74ktmowplo,0.0,2.0,2.0,4.0
42tpllrnckaznlrfzfgniht35z35x24u,28.0,2.0,62.0,1.0
436fud3qzmqe2vacqahgcvmrt5jrsnqr,17.0,2.0,23.0,4.0
43zlfr2s32cxszyjd64cc3upha4w4mhv,13.0,2.0,26.0,13.0
46gcqmrdamvy5xqw4u564vhku4bzqwds,4.0,0.0,37.0,7.0
46hzt6harmq3rvi4pa2ykrwen7q2csic,18.0,2.0,32.0,4.0
4axavwxkkcw3fju76ijduplpyiz7sw2f,25.0,0.0,42.0,14.0
4e4mbpppoozxs3hy7uf6v3um3frnrqe6,20.0,0.0,50.0,12.0
4f3zcln3bz5tisvnc5wtbwczgshano4q,11.0,2.0,53.0,13.0
4h47xlshi5ctpcw3mpfzguybsc4lg3cd,25.0,1.0,50.0,6.0
4hgysxokmpfzhw6a7c5knt3wd54wo23n,20.0,1.0,17.0,5.0
4i7x6zsa2je7ybsqkfatzvvb3pfv47l3,21.0,2.0,19.0,1.0
4jyyrhngnkjx2mtmg7epxe6kmrpikozy,1.0,2.0,75.0,2.0
4k5t52gqzacgqef777ddlrsczsuv6blr,11.0,0.0,19.0,14.0
4pk3ysr72xjsovb2zwj7k5y5edwaieem,2.0,1.0,15.0,6.0
4q2c3tzizxp2gbdvci4f3niwuzjuphus,20.0,2.0,62.0,3.0
4sg2k6fkbt4t2ognysknak4hkr3swlhy,6.0,2.0,41.0,3.0
4tcxnxnimkjumzlghwd73txhzshyfmn5,12.0,1.0,44.0,5.0
4urzsp4j4er2qcxjkcvi4qjnmnplhs3s,5.0,2.0,51.0,0.0
4vj66atn7oyfevgwrgu4vnw53sipnidp,24.0,0.0,31.0,9.0
4x6r62qzp7y2hrdesfsdfj2ky4mrenfj,2.0,0.0,31.0,11.0
55ezumc32vv65djdos5ffacj36nsdmrh,4.0,1.0,31.0,5.0
5izvgirwp7nmjes6uwnp4csp2mqbrrx7,11.0,2.0,64.0,3.0
5k3lu54uj7z6ewsw56z5l2richnur6ar,14.0,0.0,48.0,7.0
5ken55d3vzu3k52cljnz6a2cvuuv2wtn,2.0,2.0,16.0,13.0
5mwhygzy3rq7lfrvc7atie5kckyz3jxv,4.0,2.0,60.0,0.0
5pmve3fgmj5r5sxmtckolkli3fekfv34,19.0,2.0,62.0,4.0
5r5qqdtlobctz3wl7gmwk4negsf3crhi,27.0,0.0,54.0,8.0
5sjxiu5otm5rka4fdaxd673bbcdqdnjh,12.0,2.0,66.0,3.0
5v2unatyc4li6jfryea6bmods6oazi4u,0.0,2.0,42.0,4.0
5yisfs3k45mcbwotmpckdg7ykkpqa5eh,18.0,2.0,36.0,3.0
5yoluopxm7zphgebemxr6utd6ku57cfl,15.0,2.0,67.0,1.0
5zmww7qhpxvjoknuovh5vr22r5lk2uom,1.0,1.0,0.0,5.0
635gyvw5rwc6ludwtqscdjc5l6lmh5og,11.0,1.0,70.0,6.0
63hackhmnsr7fzivjdqftr32dsz6gogy,3.0,1.0,27.0,6.0
65vkd7hvwjctpigt47k34fbpipymu3be,1.0,0.0,35.0,11.0
67j6ztwn6cbpa4zrodazeyimrxl3shu2,28.0,0.0,40.0,8.0
6agzxoxggtf2jhslunxoton2jyu7rtjo,17.0,0.0,59.0,11.0
6ckn4emsf6v3tcia2vpfimcwnrb23som,15.0,0.0,56.0,12.0
6eoirbj27s4h6pe4dpp2dx4q2kuv2y27,10.0,2.0,37.0,0.0
6ff34qniagmxq7nfabmn23pcxlj5ugkz,0.0,0.0,73.0,11.0
6fx5f2b542mmuyzqpalg7geuvorje54y,21.0,0.0,23.0,9.0
6hmko4imtbisrhkz7xm6tnjajdqmtrqo,14.0,2.0,63.0,1.0
6jwld3gna457pjswiowo4anpg6uqwy5x,12.0,0.0,22.0,12.0
6lcej6hgdqqfa6mxujh5n6czqvpllxtk,17.0,0.0,52.0,9.0
6mlc4hvoaseomjocztgypb3qhzrta5nl,4.0,2.0,62.0,1.0
6omoemnopaqd5j2yhxybxd75cwpgiu3p,2.0,2.0,79.0,2.0
6pedozu7rtp7ykvfga4mvalyexf4jd4q,19.0,2.0,41.0,4.0
6s7hn6sobcrvxvnnmevobkym42b42dxg,2.0,0.0,7.0,10.0
6snoalv5is6rbytb572gjjy7buaj3ald,17.0,0.0,53.0,10.0
6tm4ezs52dgj5ibd2g6pxvine7d4mxz3,0.0,1.0,39.0,5.0
6ukx7dzwivafanmivvb4nxtsuq2abu3f,26.0,1.0,43.0,6.0
6v6zex76vo6ydkmnnoz3ht5sl5xobcyy,2.0,0.0,81.0,11.0
6vddve4avmosc2sqdxvspdc2cicyb6yf,21.0,2.0,40.0,13.0
6xjq25fnnus4ia5cdka6a26iuj4o2byi,27.0,2.0,38.0,2.0
6ys567lzpqx3btoiqac3nwdufzzlxznx,24.0,0.0,53.0,8.0
742r3ghnoaol6qtxavdenqj7ixn2y533,17.0,1.0,17.0,5.0
76vr5d2ldxnp5fi7h4whmagymxwtxajg,18.0,0.0,43.0,10.0
77rkihmkogbjt3dvh6zb7nmam3csh2wd,2.0,0.0,8.0,9.0
7gzage73rlg7wyhc3zwrdu3csbqxusdv,0.0,2.0,71.0,4.0
7ji3drzrn2iuowtkz4gy4ryfupagrcck,16.0,0.0,81.0,8.0
7mintkbevblnqxl3tfaaq43wzn2sgdlj,26.0,2.0,57.0,2.0
7nskjimdxjr6cjjtyiya6epbcqgythp4,2.0,0.0,77.0,11.0
7p3pikwx6jclyrh33xhhv3z65sxhtqkn,0.0,1.0,14.0,5.0
7p7qnoptbevgqhis2i7zyj4m27nipvj6,1.0,2.0,37.0,4.0
7plvbb5l2bv4c3g5h4ggw5l6hfwsmybi,23.0,0.0,22.0,10.0
7pyg262gkzhnehlnnowuyzxe34flr7bj,5.0,2.0,61.0,2.0
7tkm2566twsdb2yto3yc6mfgeg2gtqlc,1.0,2.0,29.0,1.0
7tv6od6rxznumazgy7fkfi2abpeogd2n,21.0,2.0,34.0,1.0
7wskchxzkt24juxzlituybnzykraku7e,0.0,0.0,64.0,8.0
7zav5pp2ym2tnvmjobyf4qqmqxtz3fga,12.0,0.0,55.0,9.0
a4cit7m4yhu4qiqhgydlm7jtfzc2yik3,2.0,0.0,73.0,8.0
a4dryzptm2dbgqw3bbasq7hfc72a63zm,25.0,0.0,46.0,10.0
abfalkcrolea6cbgzc3gryixfb4jad2v,15.0,2.0,60.0,2.0
aca6x2zfvaog3zqb2omh7mucrr7vrvft,1.0,1.0,76.0,5.0
aejxc5iyqmpp3v4mi2ryysdevilfms5u,21.0,2.0,52.0,3.0
aexsc7mwszd54t2jywjd5zeodqv7o2st,22.0,2.0,30.0,3.0
af6pvh4yr4dyshtdc3o6hfrxl7gkqqkf,14.0,0.0,18.0,8.0
ai4exdc4m7k2n2jxygselgrsmvizcu45,2.0,0.0,11.0,9.0
aihg42iidfpk62jlkqdutm3daksttlnm,27.0,0.0,52.0,7.0
aipii3ecwb25dmuciwnlw2djeltwh5ed,2.0,2.0,69.0,2.0
ajco57u6uqymaofq424gno6livyzt6ts,5.0,0.0,48.0,12.0
aw34a3m76l6z4kt5ccnoxwhzq2ea6cl5,8.0,1.0,70.0,5.0
axy65jbypzvjnecu5gdajlv4xb4vq7bg,0.0,2.0,4.0,0.0
azcmf7zt7fczde73fttyjow5pwdoqaij,28.0,2.0,56.0,1.0
b2qk7pcrklkkkcee3den56zl7qfn4dlr,4.0,0.0,20.0,14.0
b3fxflecifsquvbrzohjbbkw2aqbbevu,2.0,2.0,4.0,2.0
b4insm3koshl23oifbfv4irpoiqapbgo,5.0,0.0,16.0,12.0
b5vttzh5eqff3j236z5pui7vo5pybell,24.0,0.0,55.0,9.0
b7sziv65i4rqs26kj7qcj2n7uqpntetd,10.0,2.0,50.0,13.0
baqm3o7nuwlychfcnedtqie4ul3lkr66,15.0,1.0,35.0,6.0
bbk6k5qinps74vebgihw6wguhwdp4x3v,7.0,2.0,26.0,13.0
bfmkw4d3owpibxcacazxqjps76sy4xxi,15.0,2.0,56.0,13.0
bgui2bfb5qbydzcbj3o6vhrvqei7oxca,7.0,0.0,46.0,7.0
bkhdugaqlm27kk254c7bjtd7vncinye4,25.0,0.0,17.0,7.0
bmm6qneetoyskazxqkgsd2viczmzd3uz,17.0,0.0,30.0,10.0
bqme62crxlaji3itzoijwvlxpuswhvzk,3.0,2.0,38.0,0.0
bqrpitdizinhixquintexsqac4iqyluy,20.0,2.0,21.0,2.0
brbvamzpqpdookbsb2ucadcq5co4exsr,2.0,1.0,72.0,5.0
bs4okfbkbns5okueeyl74ymdzurafrnd,20.0,0.0,64.0,7.0
bsnie4zgsy53ifax2mmkdf5ac254bnzu,23.0,2.0,60.0,2.0
bsw6emj37qqrszluhcxsxuojvyg6xmzv,6.0,2.0,18.0,3.0
bw3urqjjqnv7kvepapaigmw3xwgdurvp,10.0,0.0,38.0,10.0
by37j4lgiswqr4rpyiqtipea5f5q5gvf,6.0,2.0,41.0,1.0
bzrq5yo3hg7sdbugkd62niff4dnodvos,25.0,2.0,66.0,2.0
c45f776jw3r4pdql5acgcedrpasaplf5,17.0,2.0,69.0,0.0
c4tkrsixrelwoy3rluq6izpf2qcmj52s,0.0,2.0,77.0,2.0
c4uvrrfyeybajbowmncqmlv3uqidfkhi,21.0,2.0,35.0,13.0
cb6bcpvexek2zmuqjrzfj7krqngjptmv,11.0,2.0,14.0,4.0
cbb4ngglocfxpmnwjqftlfksfprrde4s,0.0,2.0,68.0,13.0
cd5qjxb56fi6nznnqdhnhfdvwvfdd4uu,22.0,2.0,23.0,1.0
ceilwpnsnmby4xvzmj5fq5ebczzqewll,18.0,2.0,28.0,13.0
cfnytkitzcr5xymzyzb5eq7zj5fg4s5t,12.0,2.0,13.0,13.0
chwororfgxcsrjfd2un32vazq7bjvxo3,18.0,2.0,70.0,0.0
citwikqapq2yydygpbtkhp2ha2vhdnoe,0.0,0.0,14.0,9.0
cltdznurrmcif5aqjgn2rz5ym5g4csdw,26.0,0.0,55.0,9.0
cmphvaabvga3emvar5al46gzppupq3jb,11.0,2.0,46.0,1.0
cmwzk5njowuccqjfvrlayigiuq3gi5of,13.0,1.0,63.0,6.0
cnf3lxnhempae6qnmezrjn4utra2h75g,24.0,2.0,32.0,1.0
cszze7clhh2yh3t6irohjmhqqmjuyqaf,28.0,2.0,41.0,13.0
cxnummaohs2kfavhw3tgzitork3kvqw6,18.0,2.0,53.0,0.0
cysrvvv5olrm67gotnkrrup6wlraxzai,25.0,2.0,57.0,1.0
czii6jdcsmrflbxrpmrnmvsfdfmqvbzz,1.0,2.0,30.0,1.0
d5kzmpehkrfukmbuxn5btonkxevspcpz,12.0,0.0,63.0,10.0
d5yw6j6vzzvksvkg7sdrsvigfus7vvyy,27.0,2.0,70.0,13.0
d7vrctnnlim72z3pomafezaixnsu64j4,0.0,2.0,0.0,0.0
dchlczkh3zp6ml4bsceie5fc5c5uuh6z,11.0,0.0,51.0,9.0
denotyebb5ieadsrhumkibqd3nqvyyzl,25.0,0.0,18.0,8.0
dfr72poq23e7rbkukojeeh6jq4xmmkza,4.0,1.0,42.0,6.0
dg3mh4kjelke3gnalls66rhvvfqxvpbc,1.0,0.0,6.0,11.0
dgi4myagdqwwmo2mgbn6fddfhzmr7o2g,25.0,2.0,81.0,13.0
djkjylkbkkpx6ijg2xl6k3tn6e5tftc3,2.0,0.0,79.0,10.0
dpvkf4yl3jdbvo4kfach2smbdz3lxlh5,10.0,2.0,39.0,1.0
dq6i6s6lv66uju7ybcla7dhfiuogatmm,22.0,0.0,35.0,8.0
dt6ac5l3cpglcwnxve36zjuwybwlffq3,8.0,2.0,30.0,3.0
du4ktsagpm4honkkzadis6kyp3dwoovm,2.0,0.0,7.0,7.0
dxer57ojrc3lhhqunrwmgsrwc4omzflw,17.0,2.0,56.0,0.0
dxl25bmjvr6lkgtjtazz3d5buimzxs2m,2.0,2.0,9.0,1.0
dxwf2axrju5f6glymfbczauqlaad4pyk,17.0,0.0,62.0,9.0
dyo6tf2cnt33ja7q6suy3weex7uyl3ad,24.0,2.0,69.0,1.0
elylpn3xunw2gju7oqk43quimfdgsyvo,20.0,2.0,60.0,1.0
eplplnlznvmovvthybub57nhzg27ewtg,17.0,2.0,42.0,3.0
eqntbie3mw2kadv7j7lx7ckinf4pwbu7,4.0,2.0,29.0,2.0
etmzashqk4ccsytc7kabizbj6zmo2vfz,24.0,0.0,17.0,8.0
eweajnqrs5vovr3wzkmi4653ovxa6yyv,22.0,1.0,42.0,5.0
exbnr7apximgbdwlzwy657ewxeboab3o,28.0,2.0,64.0,4.0
exy27k6nfguvqphzc4umxkks34p5o5n6,24.0,2.0,57.0,2.0
f2agt5ie2mftyquroxvye3xill2ibn6m,20.0,2.0,51.0,2.0
f2ncpkzxatliaytm5iafmkkedj3hhmiq,2.0,2.0,44.0,4.0
f3lxrwsyjsmff6n6ampvdbl3erwqd2hq,12.0,2.0,47.0,13.0
f723rraaw2atg63gx722e6nf4bevr6fo,1.0,0.0,8.0,10.0
f7xkayazhdt4e3tyztovx6rwa5g2yzti,20.0,2.0,19.0,4.0
fd7q4keu2sqxyowf4sve7x36mafcjin6,24.0,2.0,55.0,2.0
fez4c6t6d54h3omker5oz3hpqyafevu2,8.0,2.0,21.0,4.0
ffskm7e5y37kxshoywnceyjcq4mrotq3,6.0,0.0,46.0,14.0
fgq7lnocudqsmlemwhox5mn4jddufutr,25.0,0.0,35.0,14.0
fguyrchzwpuokleqrdqut6j4fw4ig2go,11.0,2.0,43.0,13.0
fm7v5khdzyln3eotg6cmtq3i5osbxrt7,24.0,0.0,64.0,7.0
fott7yusm2s2uh7mu7nge5s6umqjqera,21.0,2.0,81.0,2.0
fp4eg5e4perloc5xybajzhr7qr44wjlz,4.0,2.0,22.0,2.0
fs7m7nlvhgtg4wwihoe4otppukuptsqc,16.0,0.0,49.0,7.0
fsn65n2l22463ebcgg6bcp2it3kcvgae,28.0,0.0,48.0,9.0
fu7eclh35c7xczluvrkbcp7kzbbwzqzf,15.0,0.0,22.0,9.0
fvnfmy6mil2254kxepg4z2mznbmogrwo,18.0,2.0,59.0,0.0
g2sbqf2ewat5noxdgtnlepg3vucmvygp,20.0,2.0,37.0,1.0
g53j2u6lq7a7xwznmzpcud45ud3ps3yw,20.0,1.0,50.0,6.0
g5tsxwk3ueoxjdp7eifrcevtlyhvp2ie,21.0,1.0,14.0,5.0
g6nja5wgyiphpujrartb6szdqs3jwcvf,24.0,1.0,40.0,6.0
gaiwpkq3v5znduytjrvbfo6c3zth2f4o,16.0,0.0,62.0,12.0
gbxopvrx32cxk6szdiij3fbkwkzxw5q2,0.0,0.0,38.0,14.0
gcer3jbixnqjvsux7szeyzftw6xtxcei,23.0,2.0,50.0,0.0
gd6huoesuf6gmxihtqw7bnhetalmw76a,22.0,0.0,22.0,12.0
gfnwiu6virdg4qrnjq43canpy3pjvv2d,18.0,2.0,23.0,0.0
ggjylk4goihiyqqh4343bohfhdah7jt5,0.0,0.0,15.0,7.0
gipntvgiuufxspwpg62xg2myvn5rnnvj,26.0,0.0,17.0,9.0
giq4gpd6wgulwlom2gcxtakbktn7zzq2,3.0,0.0,56.0,12.0
gjcyyyvkxiw4zacad3tehy3odrveypoc,6.0,0.0,40.0,12.0
gjldhv3cqjxasbhuj2mu27e5qlwgq3hd,19.0,0.0,51.0,10.0
gl3socuf2bxgjlnxp5qud7jk4vuffs3i,18.0,2.0,62.0,0.0
gmu77fbesxsdms7adsvbawsumv2ko3it,6.0,0.0,48.0,9.0
goa5ziyt6fbk5pb5rqogh7h4mo5tbh74,25.0,2.0,42.0,3.0
gquk57csehrsgq5dlgitoljp7agcmtac,22.0,0.0,52.0,12.0
gslcqiyyglcmfu7ih6yisf2uczzhhnsi,13.0,2.0,42.0,13.0
gsnrlna35pxmiypm7ieuqs3myyppdnuy,8.0,0.0,55.0,10.0
gudxu5nijo2f252sby4leuh2wwlnokta,3.0,0.0,38.0,11.0
gvunoupunwv7yj5rucae5kqp6ip7p7jc,13.0,0.0,14.0,14.0
gwhvx563ighisrahmnbacrbfjw7tuudt,0.0,0.0,32.0,14.0
gxh34l7va24wnofdgqkb57ge2lqp6ofm,5.0,0.0,56.0,7.0
h3luezw5p35rzxspvak5g3dzy6nxrkgv,8.0,2.0,62.0,3.0
h64p6ftrpemcrima4eexemwd2kzqhgji,17.0,0.0,14.0,14.0
h7gc22o4wupwmifqfvfuykzha53lrmim,4.0,0.0,34.0,14.0
hbmir6hsp4net376fanlvnbxme35ew4d,28.0,0.0,34.0,14.0
hdfapwxybe2ubhlyueqvbl6ls2solef5,1.0,2.0,44.0,0.0
hg5rrjjzfexgq23tb5apimqmj5xi4pcm,23.0,0.0,45.0,10.0
ho26tqtzcli6ze2o66w2yelhf6nozeav,28.0,0.0,57.0,11.0
hu2vjxqaoo4scq4k2tvxov745bx3jlyz,0.0,2.0,1.0,13.0
hystolk32lqscmeays673el37n7yrc4l,20.0,2.0,43.0,13.0
hzcqlhtohzzf2g7qgp5tv6jq43xuqcdz,25.0,2.0,18.0,3.0
hzosy7twexbk5c52tmijun3e535sw7mw,8.0,2.0,51.0,3.0
i2hnm3ku3pfkcmmthiccmlixgn5xce33,11.0,0.0,22.0,9.0
i3t6ye54iwhwebt7aq6sta4ymm7vvnbf,1.0,1.0,45.0,5.0
i5xvrcjsh666ovrjm6f37ol2xwkxwvmx,24.0,2.0,37.0,1.0
ibqhrftjtrytvfgqyo5outakjp37i3sr,22.0,2.0,51.0,0.0
ie5mpyj72ulvffkpkg2gnf6hq65laat7,18.0,0.0,26.0,7.0
ifqaplshdmnrftrkkmpl3mtvugmfotkq,17.0,0.0,15.0,12.0
ifzg3ymryo2ah6r46ce4sg7ukmw47dt2,28.0,1.0,27.0,5.0
ikiodzjfyqve2ljwavqu4e7yj24qzgqb,13.0,2.0,16.0,2.0
im2fnrtwtbu4piqwgjuckgobh25uijuz,16.0,2.0,42.0,13.0
inftyglhlleg2zu27z4okmyipzujnr6k,22.0,2.0,36.0,0.0
injo5dzix3qlxhcm4i6dre2pdpdsq6a6,27.0,0.0,40.0,11.0
iopvediwxwfdf7gzmquo3wpxqvnqrnom,25.0,2.0,44.0,1.0
ipktul7t2nasaq455wz2lw33m7r5tjgv,8.0,1.0,69.0,6.0
ire24tbrwcmswrg55ya2chwcv5en67zo,15.0,2.0,52.0,4.0
ispwzyf5vj4fyb7dicoicxljspgwyysx,8.0,0.0,19.0,12.0
itwhq6kjb2ryozoay3e5o2l7snoabx3f,27.0,2.0,20.0,13.0
iurluhlck4v2u4ska7sbsuewmzka4edd,21.0,0.0,18.0,9.0
j2eblsuusabzbc2iz7wajz4sj2gkz3ux,17.0,0.0,25.0,9.0
j37xrin2r7uac3x4hr2jdqm5jfezeg5j,26.0,2.0,21.0,13.0
j74i2to4kn3jsjgcglqug4thldhhnpe2,2.0,0.0,31.0,8.0
jbgggdmucrppleztytnygqelz3trb4hg,13.0,0.0,70.0,14.0
jc5f4fkkbnwipbhutkpspb5nxdfnm74j,5.0,0.0,15.0,7.0
je5wadtuoovc2s5agyf2mbaia2a73z3v,11.0,0.0,38.0,9.0
jfkso72dicibqkr3xseqffyp6voimaqo,21.0,1.0,38.0,5.0
jik2gxxkvldw7qlsznwfgfedipp5ax6k,11.0,1.0,30.0,6.0
jp7j4lmzru3xer4oegufkujzyrbja3mv,23.0,0.0,23.0,10.0
jrwcp5f5iiv6qbnyfjqr4r36ct3f2n32,26.0,0.0,21.0,14.0
jwlpp236xkcorvnirx4g4y2kwghc3hzn,10.0,0.0,38.0,7.0
jxi4gpnupic4ng2bgptemzzzkd6zacsg,7.0,2.0,18.0,4.0
k2cgwu3ubgghumnpbj7obm4vyfwxhqj2,3.0,1.0,58.0,5.0
k5du2au7ndtnjuchqcv6agybef3vuj5b,4.0,0.0,32.0,9.0
kdasafrj5bjvecg3bb4ygx4arvo24ih5,24.0,0.0,62.0,14.0
kdg4wjhjxascou5bfeiwxn7dnu7iu7lb,8.0,0.0,27.0,9.0
kjs72osdrdvlel44skn6wq3fuamuxptz,2.0,0.0,7.0,8.0
klebmto5ru3iquvgmxlk4h43y5gizvmc,8.0,2.0,15.0,1.0
knlrdskdx3fwkbuzs2makkoeuhljh6kr,7.0,2.0,13.0,1.0
ksngird7lnyobntrsh47uwvck4lzgtba,19.0,0.0,44.0,12.0
ktvxtcml5nmyao62muqjiwrtwqnizwqq,1.0,1.0,42.0,6.0
kvfvde4w3mlcpsdqudsnk4aecnmzhojw,26.0,0.0,34.0,7.0
kw2m5zybrhluag77wpfpqytvfmszl767,2.0,0.0,75.0,14.0
kw2w4zkudo5mfjpob4jy62wmt4kdjcta,12.0,0.0,41.0,14.0
kxtlxlb7uzs5r6guipnzjtrwydqmrqhi,2.0,0.0,4.0,7.0
kzeh3yw2i46jfdlhpwyx4rmvlrucxlno,26.0,1.0,28.0,6.0
