,umpire-version,camp-version,blt-version
2wdldfaj27yxb3dnjn4bje75gh7axruf,16.0,2.0,2.0
2yeahfcfsv56x6redgtmey67ilp6cbzp,12.0,2.0,1.0
3aiychebxxnqvtq3myideglnawkcao6n,27.0,1.0,4.0
3thlhmawrovufgtjzrivjjg4n2px2its,20.0,2.0,0.0
3x57mpyqsntpycvgvim7sjmrbywzllmw,12.0,2.0,2.0
4i5ar5qst3tvqqte3cbwsofzi5ualkgt,28.0,1.0,3.0
4kgj3t3t4j6zgb4y7z567n5gsl7vvdyq,18.0,2.0,3.0
4s6qefuztpockmohvpqh5kj765nr63jc,25.0,0.0,4.0
4tt4iikiixog5upqynajcc25hq4zmujy,14.0,2.0,1.0
5atotz2au2d7kxuyghr6f64zqzhzocqk,27.0,1.0,2.0
5zx7n4ggpcp33ke3vgq5qnwnkabnwigp,21.0,2.0,1.0
a6tk7sijngkfmjxw3ix7dtxnkes6ma33,14.0,2.0,4.0
bpi62cvit5jo7d5z52bkoensxtiodnnw,17.0,2.0,1.0
bsdotejfhkcjzwnbbrv26px75ntoq5o2,16.0,2.0,1.0
creiwmczqn5fbeogdb4m7mtbxjxqh4de,20.0,2.0,3.0
d3oaqihvraqkcr2yoynf5sed4f6jrw3i,21.0,2.0,2.0
dvwwsu3xsen74teoxoc4yaiodcu7kbnj,23.0,2.0,2.0
dyen6li5qzzmnfg2kggenvb36tbwqxea,12.0,2.0,0.0
gchnoglhd5y3trc5alokxfbblc72o7zz,26.0,1.0,2.0
h5uz2ehx3nzp2sjae27hdpttgfkc3on3,26.0,1.0,4.0
hegmgg57hfu776l5ois6sxwcu6f3q3fv,20.0,2.0,1.0
ietffogndydb5bdn5q444ivr6q7jhzy3,16.0,2.0,0.0
j773qm3upy6h6wqbrivf3uc63zjqt36y,23.0,2.0,4.0
jj4zcqoebu6v72ehcpzsgeqhvmbb4oig,25.0,0.0,2.0
jknl22mwzef4la7c3e57i4i5ekebvlh5,10.0,2.0,2.0
kzckhvm3vtxby3dvj7sant4ow4v3f2sc,23.0,2.0,1.0
lnj73vincrif22kreg7iydiwt4trn7kt,11.0,2.0,3.0
mcmxxgidwu5edx44lfdr4gdls7y2ypkq,11.0,2.0,0.0
mgxjt62zcpyvp7ssickbuibbcfjmzjj2,28.0,1.0,4.0
nzcnc4p3vaicxkudrzdbesizq6rhfhhw,26.0,1.0,3.0
pd4gkw6hctwa4ag5vkrl5452jqcmwkd3,19.0,2.0,2.0
plgkk5qfwlwclikm7gfhe5vxwdbwh7dg,21.0,2.0,3.0
prful3ofyj63u6zyjcpgyeygbmdxrptr,17.0,2.0,4.0
pwgyituleozipeulen237nvvq6xfiw5j,14.0,2.0,2.0
pxansqo2k476fl52urvgggjgvx5mq7ba,21.0,2.0,4.0
qcsuok7mjo3re6w3pmvuudndwqys2eod,25.0,0.0,1.0
qcwrvdo4go4jao6hgo4qlhb6avptade2,11.0,2.0,2.0
qgfwtg7pyrflo635xuooxpf6cs2lu3a7,18.0,2.0,4.0
qot6g3yvxz57nknpaccweig67ebun26r,20.0,2.0,2.0
ror7lvwuf5rb3z5bli3nzhizlxsmudla,27.0,1.0,3.0
sko6chwtftiejsvtb474bbcyaieser2d,13.0,2.0,2.0
uvzovux2tgitegkyoy26anazpx5wwkvc,16.0,2.0,4.0
vbw3uvepwfijx4b6xyufpyhkldt7plly,13.0,2.0,3.0
ve5a5cz2zmg6cx523irwvwdahgfouhyi,22.0,2.0,4.0
vhrpct527t4gz3kgncb2tgqn2xpasvub,19.0,2.0,1.0
vrtzwfhcgg2cvi2isogfr53qd4w77jvg,21.0,2.0,0.0
wgxtv6ggxlayxjla73cwpi7brs32x5jf,19.0,2.0,0.0
wycxksrsouxagnhgzenxbljrs6ultv4j,19.0,2.0,4.0
x3ieurvesrcshseq3is7fphu3sos3cz4,14.0,2.0,0.0
xiz3oemt5sk7aixgvi4go56k5jioy5no,22.0,2.0,1.0
xvronrrhnt3ifgh4vsthlata2baqrglu,17.0,2.0,2.0
zhol2foclv3t72b5c6evb3udg6orasnm,28.0,1.0,2.0
2scxsr5ww7n6l7247r2roctpngakmwbt,7.0,2.0,1.0
3ndfesizz76qetvpjon6n4c63v3ibko4,2.0,2.0,0.0
3njdxjydximvpuuhpbx32s3jkmzrj4jk,8.0,2.0,2.0
3udbytnjlrfz7cqkhsqlkmdnt4i56jq5,8.0,2.0,3.0
5gvvwsszzjfsndyi6fz2smiquaesjbuu,3.0,2.0,3.0
5uroprgw7ctdaeuh4xfqhmu6onl3xdiz,18.0,2.0,1.0
6jfolmjr6z3suc7udkpjgdnpelmicuqr,0.0,2.0,4.0
7klqnc5d26tk6zcb5c5sp32q6iemimyj,15.0,2.0,0.0
ck2e27gsxi4gza3jwkk36zq2h5pxmk4r,0.0,2.0,1.0
css2sch5ekbpxwhfifkq6is5kqwycqtw,4.0,2.0,2.0
d3ohzfnq5rslfl6zgd3mxek4ubcsfl2c,0.0,2.0,2.0
dk646n7k5ow46nwuvfmpaxvt7ybv65we,15.0,2.0,3.0
fmf2nicbfsbxx3npimdtnstpv42ed7te,5.0,2.0,2.0
h7ul5tul2undouepjk4hqjelcaavlggo,7.0,2.0,2.0
hxy24ccjymdv6jzmmxvedithq4txjoxz,5.0,2.0,0.0
i46by62qus4yqet2pb2m275hyjwmcihe,4.0,2.0,3.0
lgf5lbrmknwhscrfhztc6qqjmwxs6c46,0.0,2.0,3.0
mezqij5c5msrj3qfwnw6enklazsithxs,1.0,2.0,2.0
mqs7rxriyfqf4g5udii4z2u4vjiiwxyi,15.0,2.0,1.0
papgbbkjs36ndehhcxiafsy5ut3ltpmj,24.0,0.0,1.0
pqvelwtznbu4ulgpk5ueq5ciahrs4s64,8.0,2.0,1.0
rmx2sq2ypit4rgnuro5b6s36m6osfyzc,6.0,2.0,4.0
tajvpzh6mzwhtm5zscrlbh5ukjjmhgfe,15.0,2.0,2.0
urqtqk64slffkjyr5qohid2rxs4noyky,24.0,0.0,2.0
w4rammc7hkobnffnpsjxz2ok3upezwmx,1.0,2.0,1.0
wkolv4yrgrdxoywqnvzcxxpfg5mj2olz,22.0,2.0,3.0
xqazblbqbsn6dariyyluxeyjao4gzf7z,22.0,2.0,2.0
xys4izi7pah2hcxhctit424wio3agwsk,9.0,2.0,3.0
yaqz3thajtlzerfdgdfxvgnonzss44dn,9.0,2.0,1.0
ycaghlzrdgawrnvp7fkgn4uicp77iyal,9.0,2.0,2.0
